Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:729Tqo5aXo5uRKN2he034c,"King of the Underdogs","Metal","Newsted",2013-01-08,360666,32,false,,2026-03-10T23:12:30Z,"thrash metal","Chophouse Records",0.591,0.888,8,-4.601,1,0.034,0.00181,0.0364,0.112,0.567,94.001,4
spotify:track:4sQJXbtxwoKHG7PwMRJ0Ig,"The Kids Aren't Alright","Americana","The Offspring",1998-11-17,179600,5,false,,2026-03-09T20:47:44Z,"punk,skate punk","Columbia",0.52,0.945,1,-4.197,1,0.0335,0.00599,0.0000497,0.0495,0.807,99.603,4
spotify:track:0yfNXxlyXdmP0ue1iJijx1,"Come Undone","Duran Duran","Duran Duran",1993-02-15,256519,78,false,,2026-02-15T05:22:35Z,"new wave,synthpop","Parlophone UK",0.542,0.793,8,-8.203,1,0.0528,0.0423,0.0000039,0.0814,0.709,173.928,4
spotify:track:3fjmSxt0PskST13CSdBUFx,"Somewhere I Belong","Meteora (Bonus Edition)","Linkin Park",2003-03-25,213933,84,false,,2026-02-15T05:15:38Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.451,0.951,1,-3.754,1,0.0645,0.000386,0.00000256,0.261,0.441,162.041,4
spotify:track:3bdT1UTMUrGUPhSZ6rwJfr,"Touch, Peel And Stand","The Definitive Collection","Days Of The New",2008-02-10,297813,18,false,,2026-02-15T05:00:07Z,"grunge,post-grunge","Days of the New / Geffen",0.568,0.622,11,-8.15,1,0.03,0.0617,0.00000255,0.301,0.835,81.935,4
spotify:track:2keOybXUjBXImmAjk7UapM,"Shade","Frogstomp (Deluxe Edition) [Remastered]","Silverchair",1995-03-27,242093,52,false,,2026-02-15T04:50:45Z,"grunge,post-grunge","Sony Music Entertainment",0.342,0.585,0,-5.68,1,0.0299,0.0378,0.000528,0.0839,0.366,141.587,3
spotify:track:3qaoPiN33Fc5uJRfhYjN34,"Anthem for the Year 2000","Neon Ballroom","Silverchair",1999,247786,48,false,,2026-02-15T04:42:43Z,"grunge,post-grunge","Epic",0.325,0.768,2,-7.51,1,0.0491,0.0426,0.00000404,0.27,0.454,176.6,4
spotify:track:7qCIP5KHYy9HuXbEEWzmC7,"Pure Massacre","Frogstomp (Deluxe Edition) [Remastered]","Silverchair",1995-03-27,298640,52,false,,2026-02-15T04:40:06Z,"grunge,post-grunge","Sony Music Entertainment",0.226,0.823,2,-5.425,0,0.0421,0.000132,0.0000641,0.0891,0.406,183.809,4
spotify:track:1mgBqsopsnMbShCHOh2z33,"Ice 9","Surfing With The Alien","Joe Satriani",1987,239600,37,false,,2026-01-31T16:27:08Z,"","Epic",0.624,0.811,6,-6.074,1,0.0486,0.0185,0.814,0.171,0.57,110.106,4
spotify:track:3vhKrSxe3fRuS5Ogis76VO,"Flight of Icarus - 2015 Remaster","Piece of Mind (2015 Remaster)","Iron Maiden",1983,230760,63,false,,2026-01-26T19:43:17Z,"heavy metal,metal,hard rock,rock","Parlophone UK",0.368,0.917,6,-4.829,0,0.0772,0.147,0.000121,0.169,0.343,110.455,4
